id,layer,cultural_layer_en,cultural_layer_zh,head_direction,body_position_en,body_position_zh,limb_position_en,limb_position_zh,arm_position_en,arm_position_zh,sex_en,sex_zh,age_en,age_zh,pathology_en,pathology_zh,notes_en,notes_zh,source_group,source_report_pages
M1,L3a,Upper cultural layer,上文化層,E40°S,Prone,俯身,Extended,直肢,雙手後揹於 髖骨處,雙手後揹於 髖骨處,Undetermined,不詳,17-25 years,17-25歲,No obvious pathological changes.,無明顯病理現象,,,2020_curation_project,21-26
M2,L3b,Upper cultural layer,上文化層,E,Prone,俯身,Extended,直肢,Both hands along the sides,雙手置於身側,Probable male,疑似男性,33-45 years or older,33-45歲以上,No obvious pathological changes.,無明顯病理現象,,,2020_curation_project,27-31
M4,L3b,Upper cultural layer,上文化層,E28°S,Prone,俯身,Extended,直肢,Both hands on abdomen,雙手置於腹部,Probable female,疑似女性,Adult,成年,Possible healed fracture of a right toe phalanx with associated bone formation.,右側趾骨疑似骨折後癒 合骨質增生,,,2020_curation_project,32-40
M5,L3b,Upper cultural layer,上文化層,E8°S,Prone,俯身,Extended,直肢,右手置於身側，左手置 於腹部,右手置於身側，左手置 於腹部,Undetermined,不詳,40-45 years,40-45歲,No obvious pathological changes.,無明顯病理現象,,,2020_curation_project,41-50
M6,L3b,Upper cultural layer,上文化層,E26°S,Supine,仰身,Extended,直肢,左手置於胸前，右手置 於身側,左手置於胸前，右手置 於身側,Undetermined,不詳,16-20 years,16～20歲,Heavy dental calculus and linear enamel hypoplasia.,牙結石較多，有線性琺瑯質發育不全,,,2020_curation_project,51-61
M10,L3c,Upper cultural layer,上文化層,E10°S,Prone,俯身,Extended,直肢,Unknown,不詳,Female,女性,23-45 years,23-45歲,Osteophytes and enamel hypoplasia.,骨贅與琺瑯 質發展不全,,,prior_curation,4
M11,L3b,Upper cultural layer,上文化層,E26°S,Side-lying,側身,Flexed,屈肢,Unknown,不詳,Indeterminate,無法判斷,10.5 months-1.5  years,10.5個月~1.5 歲,No obvious pathological changes.,無明顯病理現象,,,2020_curation_project,62-66
M13,L3e,Lower cultural layer,下文化層,E30°S,Supine,仰身,Extended,直肢,Both hands on chest,雙手置於胸前,Probable female,疑似女性,25-35 years,25~35歲,Linear enamel hypoplasia; bony proliferation on the right humeral shaft; bony proliferation on the proximal ulnar articular surface.,LEH；右肱骨骨幹增 生；尺骨近端關節面增 生,,,2020_curation_project,67-79
M15,L3g,Lower cultural layer,下文化層,E30°S,Prone,俯身,Extended,直肢,右手內彎至 腹部，左手 平行於身側,右手內彎至 腹部，左手 平行於身側,Female,女性,Adult,成年,No obvious pathological changes.,無明顯病理現象,,,prior_curation,4
M16,L3e,Lower cultural layer,下文化層,E30°S,Supine,仰身,Extended,直肢,Both hands on abdomen,雙手置於腹部,Male,男性,25-35 years,25~35歲,Linear enamel hypoplasia; arthritic change of the humeral head; deformation and bony proliferation of the lumbar vertebrae.,LEH；肱骨頭有關節炎 現象；腰椎變形、增生,,,2020_curation_project,80-93
M18,L3d,Lower cultural layer,下文化層,E10°S,Supine,仰身,Extended,直肢,Unknown,不詳,Male,男性,40 years or older,40歲以上,Linear enamel hypoplasia; dental calculus; lesion and narrow morphology of the right mandibular first premolar; fibular bone proliferation.,LEH；牙結石；下顎右 側P1病變，形狀窄 小；腓骨增生,Pottery laid beneath the burial.,墓葬底部 鋪陶,2020_curation_project,94-109
M19,L3d,Lower cultural layer,下文化層,E40S,Prone,俯身,Extended,直肢,雙手後揹於 盆骨處,雙手後揹於 盆骨處,Male,男性,45-59 years,45~59歲,Dental caries; healed mandibular alveoli and bone resorption associated with antemortem tooth loss. Compression-related pathology and deformation between L5 and the ilium. Arthritis of the left proximal radius with osteophytes and depression near the radial tuberosity. Calcaneal spurs on both feet.,牙齒：齲齒、下顎齒槽 皆已癒合、無牙導致骨 吸收。 脊椎：腰椎L5與髂骨 擠壓產生病變與變形。 肢骨：左橈骨近端關節 炎（橈骨粗隆邊緣骨贅 與凹陷）。 腳骨：左腳跟骨骨刺 （後方與下方）、右腳 跟骨骨刺,,,2020_curation_project,110-119
M20,L3d,Lower cultural layer,下文化層,E10°S,Supine,仰身,Extended,直肢,Both hands on abdomen,雙手置於腹部,Indeterminate,無法判斷,"12  years, approximately",12 歲左右,Cribra orbitalia.,眶篩,,,prior_curation,4
