id,record_type,unit,layer,head_direction,burial_position,preservation,description_en,description_zh,source_report_pages,original_interpretation_en,reassessment_en,original_interpretation_zh,reassessment_zh
M9,fragmentary_human,A-T0-1P1,L3c,Unknown,Unknown,Poor,"Mostly tibial and other limb-bone fragments. Articular surfaces are missing or broken, and bone quality is poor.",多為脛骨與其他肢骨殘件，關節面皆缺失或斷裂，骨質狀況差。,344-346,,,,
M12,fragmentary_human,A-T4P1,L3d,Unknown,Unknown,Poor,Fragments of parietal and frontal bone; no teeth were observed.,為頂骨、額骨殘件，未見有牙齒。,344-346,,,,
M14,fragmentary_human,A-T6P1,L3e,Unknown,Unknown,Poor,"A pair of femora, patellae, and tibiae. Only the distal femora and proximal tibiae survive.",為一對股骨、髕骨與脛骨，但股骨僅剩遠端，脛骨剩近端。,344-346,,,,
M21,fragmentary_human,B-T25P0,L2,Unknown,Unknown,Poor,"A pair of tibiae. The left is more complete, with both ends present but damaged laterally; the right preserves only the shaft. Bone quality is relatively better than in the other fragmentary groups.",為一對脛骨，左側脛骨骨骼較為完整，兩端關節雖皆有留存，但兩端的外側都破損了，而右邊則僅存骨幹，骨質保存相對其他幾具來得佳。,344-346,,,,
M25,fragmentary_human,B-T29P0,L3b,Unknown,Unknown,Poor,"A comparatively complete left femur with very poor bone quality and flaking cortex. The lesser trochanter is damaged, but the general form of both major articular ends survives.",擁有較完整的左側股骨骨骼，但骨質相當差，整飭過程中骨皮極易脫落。其小轉子破損，兩端主要關節都有留存大致形狀。,344-346,,,,
M51,fragmentary_human,D-T58P2,L3e,Unknown,Prone,Poor,"Poor-quality fragments, mostly from lower-limb bones; proximal and distal ends are generally missing.",骨質狀況差，多為下半身肢骨殘件，骨骼近、遠端多缺失。,344-346,,,,
M62,fragmentary_human,Found scattered during drainage-ditch excavation; context and burial position could not be determined,Unknown,Unknown,Unknown,Poor,Scattered human bone found during drainage-ditch excavation; layer and burial position could not be established.,在水溝發掘時散落出現，無法確認出土層位與葬姿。,344-346,,,,
M64,fragmentary_human,E-T013P7,L3e,E22°S,Prone,Very poor,"Both tibial and fibular shafts are identifiable, but only the shafts survive. Because the bone was extremely fragile, it was removed from the soil without washing.",骨質保存極差，惟兩邊脛骨及腓骨可辨認，皆僅存骨幹。又因保存狀況差，容易破碎，為了保持骨骼完整度，故沒有進行清洗，僅從土中取出。,344-346,,,,
M3,animal_or_mixed,A-T12P0,L3b,,,,,,348-350,"Fibula, femur, and tibia were reported; a pottery jar and charcoal occurred to the east. Human disturbance and secondary burial were considered possible.",Probable dog burial. One package also contained a human femoral shaft and unidentified fragments; M3 may relate to M8.,有腓、股、脛骨，東側有陶罐，並有炭出土，可能受過人為擾亂，不排除二次葬的可能。,疑似犬隻墓葬；其中亦有一件人類股骨骨幹與不明骨骼碎片。
M7,animal_or_mixed,A-T10P0,L3c,,,,,,348-350,"Disturbed, poorly preserved north-south leg bones and phalanges.","Cervid tibia, antler, and other cervid remains.",遭人為擾動，保存狀況差，僅見南北向的腿骨和趾骨。,鹿脛骨、鹿角等骨骼。
M8,animal_or_mixed,A-T12P1,L3c,,,,,,348-350,Originally interpreted as the lower half of a small child in a slightly flexed side-lying position.,"Probable dog burial, representing the lower body; may belong to the same individual as M3.",骨骼細小應為孩童，僅見下半身，依照骨盆與下肢骨走向為南北向，側身略彎曲。,疑似犬隻墓葬。
M22,animal_or_mixed,B-T28P0,L3a,,,,,,348-350,"A cranium and mandible were reported, with displaced teeth in the southeast and parietal bone to the west.","Unidentified fragments, probably from a small mammal.",僅有一個頭骨，可見下頷骨，不過似已錯位，牙齒出現在東南角，頂骨在西側。,不明碎骨，疑似小型哺乳類動物碎骨。
M23,animal_or_mixed,B-T25P0,L3a,,,,,,348-350,"A pelvic fragment was reported one meter south of M21 and one level above, suggesting a possible association.",Small-mammal fragments including a pig tooth and pig ulna.,見一個骨盆碎片，南側1m處於上一層出現M21，也許兩者有關。,小型哺乳類動物碎骨，含有豬牙以及豬尺骨。
M29,animal_or_mixed,B-T15-16P4,L3c,,,,,,348-350,Disturbed and incomplete; phalanges were northwest of the femur and the original arrangement could not be reconstructed.,"Mostly small-mammal remains, with some human bone. A human left foot was present, including nearly all metatarsals and most tarsals.",擾動，部位不完整，見趾骨位於股骨的西北側，無法看出原貌。,小型哺乳類動物骨骼，但見有少量人骨。
M45,animal_or_mixed,B-T17P4,L3f,,,,,,348-350,"Disturbed, with only cranial and a few possible joint fragments reported.","Mostly cervid and pig fragments, with several human bones.",受到擾動，僅見頭骨與少量疑似關節的部分。,多為鹿骨、豬骨等殘片，但見有數件人骨。
